39.0,24.4,20.1,0.0,10,87,0
30.2,21.4,15.5,3.4,58,99,0
28.9,17.0,12.7,0.0,70,68,0
38.0,23.1,17.4,0.4,85,84,0
29.9,23.2,30.7,1.9,76,92,0
29.4,18.7,13.6,0.0,76,87,0
30.2,21.6,17.7,0.0,24,92,0
25.5,21.1,14.2,2.5,99,94,0
35.1,23.4,14.1,0.1,26,91,0
27.4,21.3,27.7,1.9,85,93,0
34.1,23.8,19.9,2.3,75,91,0
36.9,24.4,15.7,0.0,23,91,0
27.2,13.6,14.2,0.0,0,50,0
27.8,21.7,26.6,1.2,100,90,0
26.7,21.1,29.7,0.6,93,92,0
27.0,20.7,25.1,0.0,86,92,0
29.5,15.3,12.9,0.0,85,63,0
27.0,21.4,26.7,0.7,100,95,0
28.6,21.2,13.3,2.0,90,99,0
31.1,24.4,16.9,0.0,97,78,0
26.7,13.2,16.0,0.0,75,87,0
33.4,18.8,13.6,0.0,1,61,0
27.6,20.5,17.7,0.0,65,94,0
27.5,21.3,21.6,1.7,100,95,0
27.0,21.4,28.1,1.4,90,91,0
25.6,21.9,23.3,1.2,100,91,0
37.9,22.4,18.0,0.0,18,92,0
29.8,18.8,14.7,0.0,18,95,0
28.6,21.8,25.9,0.9,81,91,0
34.4,22.0,12.1,0.0,85,73,0
29.0,15.6,13.5,0.0,67,45,0
36.2,19.9,17.4,0.0,1,80,0
31.9,23.3,8.2,0.8,53,91,0
31.8,15.6,12.6,0.0,10,53,0
31.9,24.7,10.3,3.8,74,94,0
39.9,23.6,25.8,0.0,9,98,0
33.9,26.1,29.1,0.4,49,87,0
38.1,22.1,19.8,0.0,0,83,0
32.0,22.6,15.8,0.0,35,98,0
36.6,25.4,22.1,0.0,39,85,0
28.1,17.6,12.7,0.0,4,64,0
31.4,19.3,13.0,0.0,2,57,0
27.4,11.9,12.8,0.0,0,49,0
36.0,25.5,27.8,0.0,71,90,0
28.9,23.4,22.7,4.4,62,98,0
41.1,23.6,16.9,0.0,8,96,0
28.7,14.1,10.0,0.0,0,75,0
30.0,23.5,21.0,0.0,94,96,0
31.1,23.5,17.4,0.7,73,96,0
31.7,24.2,14.1,0.1,72,92,0
35.8,23.1,14.8,0.0,14,87,0
30.3,24.1,22.7,0.3,88,90,0
32.8,19.0,12.0,0.0,4,41,0
28.5,16.5,13.2,0.0,0,78,0
33.3,23.6,10.9,0.0,15,97,0
37.4,26.4,25.4,0.2,33,84,0
28.1,12.5,12.4,0.0,0,66,0
32.8,15.8,17.7,0.0,0,63,0
41.5,24.3,18.3,0.0,2,90,0
33.9,23.2,15.9,0.2,43,73,0
29.7,24.4,26.5,0.1,84,92,0
29.2,15.8,13.0,0.0,38,75,0
29.6,21.0,10.0,0.0,36,99,0
31.3,22.9,8.7,0.0,14,94,0
31.0,25.2,18.9,4.0,84,94,0
34.1,25.0,17.7,0.0,28,79,0
20.8,6.7,12.2,0.0,0,94,0
25.7,10.7,9.7,0.0,0,87,0
23.1,8.2,12.3,0.0,0,89,0
24.6,12.4,9.2,0.0,0,84,0
34.0,25.0,19.7,0.0,27,84,0
30.2,24.5,12.9,0.6,88,94,0
42.4,26.7,21.6,0.0,2,32,0
17.9,7.3,13.7,0.0,1,96,0
33.6,23.0,11.8,0.0,11,92,0
22.9,15.2,11.9,0.0,100,59,0
35.2,23.1,22.5,0.1,48,34,0
25.7,11.2,10.7,0.0,0,86,0
34.0,25.0,19.7,0.0,27,84,0
30.2,19.3,15.1,0.0,81,81,0
37.6,20.3,21.1,0.0,0,39,0
36.7,23.2,16.9,0.0,1,45,0
34.0,25.8,21.4,0.0,33,81,0
34.4,19.8,14.7,0.0,42,62,0
20.4,4.8,13.3,0.0,10,97,0
19.0,8.4,9.4,0.0,6,91,0
26.8,17.4,14.2,0.0,40,82,0
34.3,24.4,22.4,5.9,43,88,0
36.3,24.4,16.6,0.0,1,63,0
32.4,18.9,12.3,0.0,1,52,0
30.3,22.9,7.2,8.5,95,98,0
33.0,19.5,11.4,0.0,0,41,0
28.3,23.3,25.5,1.5,100,88,0
28.0,17.2,10.9,0.0,21,83,0
37.9,20.9,12.0,0.0,5,38,0
38.8,25.0,29.3,0.0,32,39,0
40.2,26.2,16.4,0.0,27,59,0
29.8,24.0,23.4,1.7,87,86,0
31.2,23.0,10.8,0.0,49,80,0
28.4,23.2,28.2,6.9,100,92,0
26.1,11.0,9.4,0.0,0,88,0
40.8,25.7,15.9,0.0,12,45,0
35.2,22.5,11.2,0.1,14,68,0
37.8,22.7,13.4,0.0,0,32,0
42.5,27.2,16.5,0.0,7,44,0
26.6,15.9,14.1,0.0,5,72,0
30.2,15.4,10.8,0.0,0,87,0
36.6,21.7,11.7,0.0,28,45,0
38.9,24.1,12.0,0.0,8,25,0
28.8,22.7,12.4,0.5,98,96,0
28.5,22.5,22.4,0.3,94,88,0
32.6,21.4,12.2,0.0,12,86,0
33.5,17.8,9.2,0.0,0,61,0
28.0,15.2,8.8,0.0,64,96,0
29.8,18.2,12.7,0.0,12,70,0
30.7,20.9,6.8,0.0,11,92,0
28.5,23.2,27.3,0.8,99,85,0
31.4,20.6,11.9,0.0,22,77,0
33.0,22.6,12.8,0.2,25,90,0
20.6,11.2,14.2,0.0,4,92,0
33.5,26.3,12.0,0.3,84,84,0
20.8,14.9,9.0,0.1,82,96,0
26.5,15.2,9.2,0.7,31,80,0
21.9,8.6,10.0,0.0,1,91,0
24.4,13.1,12.9,0.4,15,95,0
34.2,20.5,10.7,0.0,83,52,0
21.2,7.4,10.1,0.0,10,75,0
29.1,19.6,13.2,0.0,33,52,0
